City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
369,Henties Bay,NA,-22.12,14.28,69.58,31,0,20.62,clear sky,0.0,0.0
370,Olinda,BR,-8.01,-34.86,80.6,65,75,11.41,broken clouds,0.0,0.0
371,Dudinka,RU,69.41,86.18,57.2,71,75,15.66,broken clouds,0.0,0.0
372,Katiola,CI,8.13,-5.1,70.57,98,99,3.24,overcast clouds,0.0,0.0
373,Kristiansund,NO,63.11,7.73,73.4,43,55,16.11,broken clouds,0.0,0.0
374,Benton Harbor,US,42.12,-86.45,73.0,77,1,3.36,clear sky,0.0,0.0
375,Khandbari,NP,27.37,87.2,76.73,70,100,2.35,overcast clouds,0.0,0.0
376,Tyup,KG,42.73,78.36,69.1,32,48,11.52,light rain,0.23,0.0
377,Shihezi,CN,44.3,86.03,88.95,13,0,3.94,clear sky,0.0,0.0
378,Padang,ID,-0.95,100.35,84.52,72,69,6.6,light rain,0.98,0.0
379,Uvarovka,RU,55.53,35.61,76.12,70,0,3.27,clear sky,0.0,0.0
380,Japura,ID,-0.32,102.35,92.55,49,62,4.5,broken clouds,0.0,0.0
381,Iqaluit,CA,63.75,-68.51,37.4,86,90,2.24,overcast clouds,0.0,0.0
382,High Level,CA,58.52,-117.14,68.0,40,1,5.82,clear sky,0.0,0.0
